attack_type,model_type,auc_roc,auc_pr,f1_score,precision,recall
step,cnn,1.0,1.0,0.9978494623655914,0.9957081545064378,1.0
step,lstm,1.0,0.9999999999999998,1.0,1.0,1.0
step,bilstm,1.0,1.0,1.0,1.0,1.0
step,gru,0.9988985119606487,0.9663374766146415,0.7644151565074135,0.6186666666666667,1.0
step,cnn_lstm,0.9997838816346907,0.9839799126672695,0.9914529914529915,0.9830508474576272,1.0
step,tcn,0.9999994275010191,0.9999814607967217,0.9934924078091106,1.0,0.9870689655172413
step,transformer,1.0,0.9999999999999999,1.0,1.0,1.0
drift_ramp,cnn,0.9999990864376183,0.999970542967353,0.9919137466307278,0.983957219251337,1.0
drift_ramp,lstm,1.0,1.0,1.0,1.0,1.0
drift_ramp,bilstm,1.0,1.0,1.0,1.0,1.0
drift_ramp,gru,1.0,1.0000000000000002,0.48806366047745353,0.32280701754385965,1.0
drift_ramp,cnn_lstm,0.9999972593128549,0.9999125765950907,0.7650727650727651,0.6195286195286195,1.0
drift_ramp,tcn,1.0,1.0,1.0,1.0,1.0
drift_ramp,transformer,1.0,1.0000000000000002,0.5006802721088436,0.3339382940108893,1.0
drift_sigmoid,cnn,1.0,1.0,0.9813333333333333,0.9633507853403142,1.0
drift_sigmoid,lstm,1.0,1.0,1.0,1.0,1.0
drift_sigmoid,bilstm,1.0,1.0,0.9509043927648578,0.9064039408866995,1.0
drift_sigmoid,gru,1.0,1.0,0.5897435897435896,0.41818181818181815,1.0
drift_sigmoid,cnn_lstm,1.0,1.0,1.0,1.0,1.0
drift_sigmoid,tcn,1.0,1.0,1.0,1.0,1.0
drift_sigmoid,transformer,0.9988644419595548,0.8936477162157231,0.9787234042553191,0.9583333333333334,1.0
delay,cnn,0.9976641692375496,0.9955192333899731,0.9976133651551313,1.0,0.9952380952380953
delay,lstm,0.999711081729592,0.9968406940795755,0.9976133651551313,1.0,0.9952380952380953
delay,bilstm,0.9997502570882915,0.9969991150497628,0.6521060842433698,0.48491879350348027,0.9952380952380953
delay,gru,0.9996460226517521,0.9966323899564123,0.9976133651551313,1.0,0.9952380952380953
delay,cnn_lstm,0.9994081722596487,0.9961832569089678,0.9976133651551313,1.0,0.9952380952380953
delay,tcn,0.9997649478478038,0.9970669086265416,0.9976133651551313,1.0,0.9952380952380953
delay,transformer,0.9532120296333606,0.2604066719972601,0.009478672985781991,1.0,0.004761904761904762
replay_same_hard,cnn,0.6490469833686302,0.07083647920559627,0.0971107544141252,0.05314009661835749,0.5627906976744186
replay_same_hard,lstm,0.5575192460178058,0.09950582842895078,0.04473684210526316,0.024697336561743343,0.2372093023255814
replay_same_hard,bilstm,0.5566272880261498,0.09574322190853854,0.050754458161865565,0.0273972602739726,0.34418604651162793
replay_same_hard,gru,0.6012941085940453,0.12057061978840933,0.08580858085808582,0.046181172291296625,0.6046511627906976
replay_same_hard,cnn_lstm,0.6436959045544727,0.28022943050047094,0.07601246105919003,0.04073455759599332,0.5674418604651162
replay_same_hard,tcn,0.6702298146828463,0.15235342813130903,0.08582483292296868,0.04642313546423135,0.5674418604651162
replay_same_hard,transformer,0.5445420267453571,0.11027761771469462,0.03927344133529701,0.021953896816684963,0.18604651162790697
replay_other_soft,cnn,0.8022280716057723,0.38665250925243244,0.10176125244618393,0.05500705218617771,0.6782608695652174
replay_other_soft,lstm,0.7484655074016703,0.3723061038776359,0.09303904923599321,0.050460405156537755,0.5956521739130435
replay_other_soft,bilstm,0.8179573486763182,0.21852474135097713,0.11488996856244642,0.061486693178342,0.8739130434782608
replay_other_soft,gru,0.7757992755564355,0.27844600814563164,0.1082191780821918,0.058736059479553904,0.6869565217391305
replay_other_soft,cnn_lstm,0.7697801045900837,0.3456560102723306,0.09496327387198322,0.050530429927414855,0.7869565217391304
replay_other_soft,tcn,0.8809414272237039,0.4062047673930214,0.21638655462184875,0.14265927977839335,0.44782608695652176
replay_other_soft,transformer,0.77946691668899,0.347908547223195,0.126861555432984,0.07264687302590019,0.5
takeover_step,cnn,1.0,1.0,1.0,1.0,1.0
takeover_step,lstm,0.9996727630559972,0.9969128499861474,0.9978213507625272,1.0,0.9956521739130435
takeover_step,bilstm,0.9998101792815927,0.9974484384290452,0.9978213507625272,1.0,0.9956521739130435
takeover_step,gru,0.9997845593073291,0.997316602550144,0.5841836734693877,0.41335740072202165,0.9956521739130435
takeover_step,cnn_lstm,0.9998101792815927,0.9974484384290452,0.9978213507625272,1.0,0.9956521739130435
takeover_step,tcn,0.9991382372293162,0.9914580858567882,0.9912280701754386,1.0,0.9826086956521739
takeover_step,transformer,0.9999999999999999,0.9999999999999999,0.7567567567567568,1.0,0.6086956521739131
takeover_ramp,cnn,0.9995387774194858,0.9947490024521174,0.953229398663697,0.9224137931034483,0.9861751152073732
takeover_ramp,lstm,0.9999993448542891,0.9999788123251286,0.9774774774774774,0.9559471365638766,1.0
takeover_ramp,bilstm,0.9999796904829603,0.9994089863809371,0.9557522123893805,0.9191489361702128,0.9953917050691244
takeover_ramp,gru,1.0,1.0,1.0,1.0,1.0
takeover_ramp,cnn_lstm,0.9999927933971795,0.9997771802677078,0.9953917050691244,0.9953917050691244,0.9953917050691244
takeover_ramp,tcn,0.9999947588343123,0.999834382352328,0.9930394431554525,1.0,0.9861751152073732
takeover_ramp,transformer,0.9948898634545309,0.951044682049786,0.9311926605504587,0.9269406392694064,0.9354838709677419
