attack_type,bilstm,cnn,cnn_lstm,gru,lstm,tcn,transformer,mean
delay,0.9998,0.9977,0.9994,0.9996,0.9997,0.9998,0.9532,0.9927428571428571
drift_ramp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
drift_sigmoid,1.0,1.0,1.0,1.0,1.0,1.0,0.9989,0.9998428571428571
replay_other_soft,0.818,0.8022,0.7698,0.7758,0.7485,0.8809,0.7795,0.7963857142857141
replay_same_hard,0.5566,0.649,0.6437,0.6013,0.5575,0.6702,0.5445,0.6032571428571428
step,1.0,1.0,0.9998,0.9989,1.0,1.0,1.0,0.9998142857142857
takeover_ramp,1.0,0.9995,1.0,1.0,1.0,1.0,0.9949,0.9992000000000001
takeover_step,0.9998,1.0,0.9998,0.9998,0.9997,0.9991,1.0,0.9997428571428573
mean,0.921775,0.93105,0.9265625000000002,0.9219250000000001,0.913175,0.9437500000000001,0.9088750000000001,0.9238732142857142
