model_type,mean_AUC,std_AUC,CV,Robustness
cnn,0.9310596360086321,0.12463207556533441,0.13386046472771687,0.8661395352722832
lstm,0.9131709928824193,0.15761693966439846,0.1726039710995215,0.8273960289004785
bilstm,0.9217655954444142,0.15031384292147265,0.16307165689884673,0.8369283431011533
gru,0.9219278097587763,0.1416296237378049,0.1536233338864813,0.8463766661135187
cnn_lstm,0.9265585368788154,0.13076938369193084,0.14113450849251002,0.85886549150749
tcn,0.9437585766648753,0.11046455042112918,0.1170474665369369,0.8829525334630631
transformer,0.9088719098102241,0.15486231498552455,0.17038959320225924,0.8296104067977408
