model_type,EOC_rank,F1_rank,FNR_rank,FPR_rank,avg_rank
bilstm,1.0,3.0,1.0,6.0,2.75
gru,3.0,4.0,3.0,3.0,3.25
transformer,6.0,2.0,6.0,2.0,4.0
tcn,7.0,1.0,7.0,1.0,4.0
cnn_lstm,2.0,6.0,2.0,7.0,4.25
cnn,4.0,5.0,4.0,5.0,4.5
lstm,5.0,7.0,5.0,4.0,5.25
