model_type,EOC_rank,F1_rank,FNR_rank,FPR_rank,avg_rank
cnn,1.0,1.0,1.0,3.5,1.625
lstm,3.0,3.0,3.5,3.5,3.25
bilstm,3.0,3.0,3.5,3.5,3.25
cnn_lstm,3.0,3.0,3.5,3.5,3.25
tcn,6.0,5.0,6.0,3.5,5.125
gru,5.0,7.0,3.5,7.0,5.625
transformer,7.0,6.0,7.0,3.5,5.875
