model_type,model_params,model_size_MB,mean_AUC,Memory_Score,PER,Energy_Score
cnn,263873,1.0065956115722656,0.9310596360086321,0.16951566951566954,0.9280042877914674,3.5284384382207805
lstm,215873,0.8234901428222656,0.9131709928824193,0.38319088319088324,1.0062894163998528,4.230130645714931
bilstm,150337,0.5734901428222656,0.921765595444414,0.6749287749287749,1.217187588874503,6.131328917328496
gru,164545,0.6276893615722656,0.9219278097587764,0.6116809116809117,1.163655781369567,5.602891669505463
cnn_lstm,301953,1.1518592834472656,0.9265585368788154,0.0,0.8633226762807991,3.068552181560757
tcn,77313,0.2949256896972656,0.9437585766648753,1.0,1.7378192737450833,12.206984293260838
transformer,103489,0.3947792053222656,0.9088719098102241,0.8834757834757835,1.4465236774437076,8.782304494296246
