model_type,EOC_rank,F1_rank,FNR_rank,FPR_rank,avg_rank
gru,1.0,1.0,1.5,2.0,1.375
cnn_lstm,3.0,2.0,3.5,2.0,2.625
lstm,2.0,4.0,1.5,4.0,2.875
tcn,5.0,3.0,5.5,2.0,3.875
bilstm,4.0,5.0,3.5,7.0,4.875
cnn,6.0,6.0,5.5,6.0,5.875
transformer,7.0,7.0,7.0,5.0,6.5
