model_type,EOC_rank,F1_rank,FNR_rank,FPR_rank,avg_rank
lstm,2.5,2.0,3.5,3.0,2.75
bilstm,2.5,2.0,3.5,3.0,2.75
transformer,2.5,2.0,3.5,3.0,2.75
cnn,2.5,4.0,3.5,3.0,3.25
cnn_lstm,5.0,6.0,3.5,6.0,5.125
tcn,7.0,5.0,7.0,3.0,5.5
gru,6.0,7.0,3.5,7.0,5.875
