model_type,RWDR,CMR,WCP,BCP,AVG_F1,performance_gap
cnn,0.8157308614502433,0.3775280898876405,0.0971107544141252,1.0,0.7651014141260988,0.9028892455858748
lstm,0.71315903510039,0.5775280898876405,0.04473684210526316,1.0,0.763836010592049,0.9552631578947368
bilstm,0.7996495037456651,0.38202247191011235,0.050754458161865565,1.0,0.7152785583605559,0.9492455418381345
gru,0.8290762295019652,0.35280898876404493,0.08580858085808582,1.0,0.5772559005366567,0.9141914191419142
cnn_lstm,0.8400943975778188,0.31981981981981983,0.07601246105919003,1.0,0.7397909890554641,0.92398753894081
tcn,0.7668463532759338,0.4954954954954955,0.08582483292296868,1.0,0.7846980842299938,0.9141751670770313
transformer,0.49940514713510026,0.651685393258427,0.009478672985781991,1.0,0.5428708454281802,0.990521327014218
