model,n_attacks,n_detected,detection_rate,ADD,MTBFA,n_false_alarms,DR@1s,DR@2s,DR@5s,DR@10s,DR@15s,DR@30s
cnn,12,12,1.0,0.4215257128503091,0.6849700000000047,10,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,1.0
lstm,12,12,1.0,0.4102408063178258,1.1416166666666745,6,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,1.0
bilstm,12,12,1.0,0.4102408063178258,0.9785285714285782,7,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,1.0
gru,12,12,1.0,0.4102408063178258,1.1416166666666745,6,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,1.0
cnn_lstm,12,12,1.0,0.4102408063178258,0.6849700000000047,10,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,1.0
tcn,12,12,1.0,0.4102408063178258,1.3699400000000095,5,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,1.0
transformer,12,12,1.0,0.4102408063178258,0.5269000000000037,13,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,1.0
