attack_type,auc_roc,auc_pr,f1_score,precision,recall
drift_ramp,1.0,1.0,0.6333907056798623,0.4634760705289673,1.0
drift_sigmoid,1.0,1.0,1.0,1.0,1.0
takeover_step,1.0,1.0,0.9956331877729258,1.0,0.991304347826087
takeover_ramp,0.9999980345628671,0.9999370161433793,0.9931034482758622,0.9908256880733946,0.9953917050691244
step,0.9993771211087245,0.9778829972447313,0.8611764705882352,0.9481865284974094,0.7887931034482759
delay,0.9989597543145362,0.995803757132781,0.9928741092636579,0.990521327014218,0.9952380952380953
replay_other_soft,0.8306554933087971,0.40453109187882036,0.13629518072289157,0.07460840890354493,0.7869565217391304
replay_same_hard,0.638353524505425,0.20216734748817242,0.07130825379000562,0.03794442784583209,0.5906976744186047
