model,attack_id,flight_id,attack_type,t_attack,t_first_window,delay,detected
cnn,98,162,takeover_step,14.91515823592874,23.01,8.094841764071262,True
cnn,99,162,takeover_step,14.91515823592874,23.400000000000002,8.484841764071263,True
cnn,100,162,takeover_step,14.91515823592874,35.39,20.47484176407126,True
cnn,101,162,takeover_step,14.91515823592874,36.29,21.37484176407126,True
cnn,102,162,takeover_step,14.91515823592874,39.78,24.86484176407126,True
cnn,103,162,takeover_step,14.91515823592874,40.1,25.184841764071262,True
cnn,104,162,takeover_step,14.91515823592874,46.480000000000004,31.564841764071264,True
cnn,105,162,takeover_step,14.91515823592874,46.62,31.704841764071258,True
cnn,106,162,takeover_step,14.91515823592874,55.08,40.164841764071255,True
cnn,107,162,takeover_step,14.91515823592874,60.93,46.014841764071264,True
cnn,108,165,drift_sigmoid,147.15736833345036,0.89,0.0,True
cnn,109,165,drift_sigmoid,147.15736833345036,3.19,0.0,True
cnn,110,165,drift_sigmoid,147.15736833345036,28.98,0.0,True
cnn,111,165,drift_sigmoid,147.15736833345036,31.240000000000002,0.0,True
cnn,112,165,drift_sigmoid,147.15736833345036,39.27,0.0,True
cnn,113,165,drift_sigmoid,147.15736833345036,41.08,0.0,True
cnn,114,165,drift_sigmoid,147.15736833345036,43.300000000000004,0.0,True
cnn,115,165,drift_sigmoid,147.15736833345036,60.4,0.0,True
cnn,116,169,takeover_ramp,97.420297603735,2.66,0.0,True
cnn,117,169,takeover_ramp,97.420297603735,10.97,0.0,True
cnn,118,169,takeover_ramp,97.420297603735,25.2,0.0,True
cnn,119,179,takeover_step,122.10788111664908,3.5500000000000003,0.0,True
cnn,120,179,takeover_step,122.10788111664908,22.900000000000002,0.0,True
cnn,121,179,takeover_step,122.10788111664908,32.64,0.0,True
cnn,122,179,takeover_step,122.10788111664908,53.29,0.0,True
cnn,123,179,takeover_step,122.10788111664908,62.65,0.0,True
cnn,124,179,takeover_step,122.10788111664908,64.24000000000001,0.0,True
cnn,125,184,drift_ramp,75.24008074312675,11.51,0.0,True
cnn,126,184,drift_ramp,75.24008074312675,18.51,0.0,True
cnn,127,184,drift_ramp,75.24008074312675,24.61,0.0,True
cnn,128,184,drift_ramp,75.24008074312675,25.21,0.0,True
cnn,129,184,drift_ramp,75.24008074312675,25.59,0.0,True
cnn,130,184,drift_ramp,75.24008074312675,30.46,0.0,True
cnn,131,184,drift_ramp,75.24008074312675,41.85,0.0,True
cnn,132,184,drift_ramp,75.24008074312675,49.75,0.0,True
cnn,133,184,drift_ramp,75.24008074312675,61.870000000000005,0.0,True
cnn,134,192,drift_sigmoid,79.2016227542393,8.91,,False
cnn,135,192,drift_sigmoid,79.2016227542393,32.84,0.0,True
cnn,136,192,drift_sigmoid,79.2016227542393,33.09,0.0,True
cnn,137,192,drift_sigmoid,79.2016227542393,39.410000000000004,0.0,True
cnn,138,192,drift_sigmoid,79.2016227542393,39.730000000000004,0.0,True
cnn,139,193,takeover_ramp,40.23553773066088,4.2,0.0,True
cnn,140,193,takeover_ramp,40.23553773066088,4.73,0.0,True
cnn,141,193,takeover_ramp,40.23553773066088,9.33,0.0,True
cnn,142,193,takeover_ramp,40.23553773066088,13.34,0.0,True
cnn,143,193,takeover_ramp,40.23553773066088,15.66,0.0,True
cnn,144,193,takeover_ramp,40.23553773066088,24.04,0.0,True
cnn,145,193,takeover_ramp,40.23553773066088,24.490000000000002,0.0,True
cnn,146,193,takeover_ramp,40.23553773066088,34.37,0.0,True
cnn,147,193,takeover_ramp,40.23553773066088,43.75,3.51446226933912,True
cnn,148,193,takeover_ramp,40.23553773066088,44.99,4.754462269339122,True
cnn,149,193,takeover_ramp,40.23553773066088,49.730000000000004,9.494462269339124,True
cnn,150,193,takeover_ramp,40.23553773066088,56.65,16.41446226933912,True
