model,n_attacks,n_detected,detection_rate,add,mtbfa,dr@1s,dr@2s,dr@5s,dr@10s,dr@15s,dr@30s
cnn,210,208,0.9904761904761905,4.12134385643457,0.005279320987654342,0.8142857142857143,0.8238095238095238,0.8380952380952381,0.861904761904762,0.8714285714285714,0.9285714285714286
lstm,210,209,0.9952380952380953,4.101624507839189,0.0053644713261648954,0.819047619047619,0.8285714285714286,0.8428571428571429,0.8666666666666667,0.8761904761904762,0.9333333333333333
bilstm,210,208,0.9904761904761905,3.910922745113669,0.005497474747474769,0.819047619047619,0.8285714285714286,0.8428571428571429,0.8666666666666667,0.8761904761904762,0.9333333333333333
gru,210,206,0.9809523809523809,4.127942177825124,0.005408084914182497,0.8095238095238095,0.819047619047619,0.8333333333333334,0.8523809523809524,0.861904761904762,0.919047619047619
cnn_lstm,210,208,0.9904761904761905,4.037384051854944,0.0050014619883041135,0.819047619047619,0.8285714285714286,0.8428571428571429,0.8666666666666667,0.8761904761904762,0.9285714285714286
tcn,210,203,0.9666666666666667,3.9540115262507185,0.005156546080964706,0.8,0.8095238095238095,0.8238095238095238,0.8476190476190476,0.8523809523809524,0.9095238095238095
transformer,210,204,0.9714285714285714,3.978473026849157,0.004751388888888907,0.8047619047619048,0.8095238095238095,0.8238095238095238,0.8476190476190476,0.8571428571428571,0.9142857142857143
