attack_type,n_instances,detection_rate,ADD,DR@1s,DR@2s,DR@5s,DR@10s,DR@15s,DR@30s
takeover_ramp,42,1.0,1.8503993718103504,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.9285714285714286,0.9285714285714286,1.0
step,48,1.0,0.0030749111826899878,1.0,1.0,1.0,1.0,1.0,1.0
drift_ramp,43,0.9767441860465116,5.115912390303013,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.813953488372093,0.9069767441860465
delay,13,1.0,0.6728359240638676,0.8461538461538461,0.9230769230769231,0.9230769230769231,1.0,1.0,1.0
takeover_step,42,1.0,12.19029462441149,0.5476190476190477,0.5714285714285714,0.5952380952380952,0.6666666666666666,0.6666666666666666,0.7857142857142857
drift_sigmoid,22,0.9545454545454546,0.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546
