model,attack_type,n_instances,ADD,DR@5s,DR@10s
transformer,takeover_ramp,27,,0.0,0.0
transformer,normal,51,,0.0,0.0
transformer,step,28,,0.0,0.0
transformer,drift_ramp,20,,0.0,0.0
transformer,delay,25,,0.0,0.0
transformer,takeover_step,26,,0.0,0.0
transformer,drift_sigmoid,25,,0.0,0.0
