model,attack_type,n_instances,ADD,DR@5s,DR@10s
cnn_lstm,takeover_ramp,27,,0.0,0.0
cnn_lstm,normal,51,,0.0,0.0
cnn_lstm,step,28,,0.0,0.0
cnn_lstm,drift_ramp,20,,0.0,0.0
cnn_lstm,delay,25,,0.0,0.0
cnn_lstm,takeover_step,26,,0.0,0.0
cnn_lstm,drift_sigmoid,25,,0.0,0.0
