model,roc_auc,f1,precision,recall,skipped
gru,0.9979704390639914,0.6026200873362446,0.43487394957983194,0.981042654028436,False
lstm,0.997622712241508,0.4677060133630289,0.3056768558951965,0.995260663507109,False
bilstm,0.9970664878621174,0.4707207207207207,0.3087149187592319,0.990521327014218,False
cnn,0.9957400000831219,0.5244667503136763,0.35665529010238906,0.990521327014218,False
transformer,0.9956506439873045,0.5229591836734695,0.35776614310645727,0.9715639810426541,False
cnn_lstm,0.9930918733055244,0.4988066825775656,0.3333333333333333,0.990521327014218,False
tcn,0.9922862830773409,0.5447263017356475,0.379182156133829,0.966824644549763,False
